session_start,duration_seconds,frames,posture_good,posture_bad,posture_unknown,dominant_emotion,emotion_counts
2025-11-10T18:41:17,50,601,601,0,0,Neutral,"{'Neutral': 110, 'Sad': 8, 'Happy': 2}"
2025-11-10T21:49:11,174,2165,1646,66,453,Neutral,"{'Neutral': 178, 'Surprise': 6, 'Fear': 135, 'Happy': 26, 'Sad': 60, 'Angry': 28}"
